,Title,Employer,Location,Deadline
140,                                        Tehničar za telekomunikacije (m/ž)                                    ,Electus DGS d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Brač, Buzet, Velika Gorica, Čakovec, Valpovo, Donji Miholjac, Kaštela, Crikvenica, Zadar",17.01.2024.
141,                                        Viši stručni suradnik u Supply Chain Managementu (m/ž)                                    ,Kaufland Hrvatska k.d.,Zagreb,15.01.2024.
142,                                        Sistem inženjer za sigurnosne mrežne tehnologije (m/ž)                                    ,Sedam IT d.o.o.,Zagreb,17.01.2024.
143,                                        Product Marketing Expert (f/m)                                    ,A1,Zagreb,13.01.2024.
144,                                        IT tehničar / inženjer podrške  - Junior/Senior (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,13.01.2024.
145,                                        Projektant - telecom / brodska elektronika (m/ž)                                    ,Navis Consult d.o.o.,"Rijeka, Pula, Split",16.01.2024.
146,                                        Tehničar za telekomunikacije (m/ž)                                    ,Smart Flex d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Buzet, Kaštel , Velika Gorica, Crikvenica, Brač, Zadar, Čakovec, Valpovo, Donji Miholjac",02.02.2024.
147,                                        Full Stack Developer (m/ž)                                    ,mStart plus d.o.o.,Zagreb,22.01.2024.
148,                                        Senior Microsoft Administrator (d/m/f)                                    ,Stratus sustavi d.o.o.,Zagreb,22.01.2024.
149,                                        Poslovni konzultant / analitičar - IOT (m/ž)                                    ,Omega software d.o.o.,Zagreb,21.01.2024.
150,                                        Operater za online casino (m/ž)                                    ,Adria Casino d.o.o.,Sesvete,20.01.2024.
151,                                        IT inženjer za komunikacijske sustave - ekspert (m/ž)                                    ,Financijska agencija,Zagreb,18.01.2024.
152,                                        System Administrator - Broadcast IT (m/f)                                    ,RTL Hrvatska d.o.o.,Zagreb,18.01.2024.
153,                                        Sistem analitičar ili IT arhitekt (m/ž)                                    ,"HBOR, Hrvatska banka za obnovu i razvitak",Zagreb,15.01.2024.
154,                                        Tehničar za telekomunikacije (m/ž)                                    ,Datakom j.d.o.o. za telekomunikacije,Zagreb,14.01.2024.
155,                                        Service Delivery Director (m/f/d)                                    ,SELECTIO d.o.o.,Zagreb or Pula,13.01.2024.
156,                                        Senior Web Designer (m/f)                                    ,Kriisp d.o.o,Zagreb,13.01.2024.
157,                                        Specijalist za koordinaciju priključenja (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
158,                                        Tehničar za podršku korisnicima (m/ž)                                    ,Wiener osiguranje Vienna Insurance Group d.d.,Split,22.01.2024.
159,                                        Post Security Manager / IT Support Officer (m/f)                                    ,British Embassy Zagreb,Zagreb,01.02.2024.
160,                                        Revenue Management Intern (m/f/x)                                    ,Best Solutions d.o.o.,"Opatija, Lovran",21.01.2024.
161,                                        BI Specialist (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
162,                                        Servisni tehničar za multifunkcijske uređaje (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,18.01.2024.
